ID,condition,Dyad,A_or_B,gender,familiar,familiar_group,gender_group,cq,ts,tp,X,profile,maxrec,maxlag
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-82,0.33108888,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-81,0.331794576,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-80,0.330576923,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-79,0.333012882,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-78,0.338139177,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-77,0.340188353,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-76,0.337432744,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-75,0.338712776,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-74,0.333461391,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-73,0.328980219,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-72,0.337557604,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-71,0.341140334,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-70,0.341458733,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-69,0.340241796,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-68,0.340368381,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-67,0.339535776,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-66,0.338319908,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-65,0.337871524,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-64,0.338765337,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-63,0.333716695,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-62,0.335569184,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-61,0.340678291,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-60,0.34137931,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-59,0.346102279,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-58,0.344121026,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-57,0.340417385,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-56,0.338437979,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-55,0.341626794,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-54,0.334098737,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-53,0.334800077,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-52,0.338179036,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-51,0.344042838,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-50,0.343977055,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-49,0.340470273,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-48,0.342316514,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-47,0.345690808,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-46,0.346771112,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-45,0.345940783,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-44,0.350649351,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-43,0.344472026,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-42,0.351470027,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-41,0.352929948,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-40,0.356679389,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-39,0.35871017,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-38,0.35005723,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-37,0.351516307,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-36,0.34935164,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-35,0.349094376,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-34,0.350934045,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-33,0.348389556,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-32,0.346989329,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-31,0.344637074,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-30,0.346285714,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-29,0.344886688,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-28,0.34424981,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-27,0.34018656,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-26,0.336315188,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-25,0.334919125,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-24,0.336187215,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-23,0.337074377,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-22,0.33701027,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-21,0.336565887,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-20,0.339923954,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-19,0.344611291,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-18,0.35081718,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-17,0.346380391,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-16,0.34631459,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-15,0.348148148,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-14,0.343904292,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-13,0.33605468,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-12,0.337129841,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-11,0.335547542,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-10,0.335863378,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-9,0.338455701,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-8,0.343512898,0.35871017,112
